,bothfoot_L,swing_L,bothfoot_R,swing_R,stand_L,stand_R,cluster_id
577,956,546,945,630,150,176,4
578,1029,354,885,585,255,189,4
579,1005,504,465,585,83,337,4
580,920,468,765,600,142,178,4
581,5086,373,690,645,146,4295,2
582,2752,202,750,736,465,1551,7
583,3196,438,1575,720,188,2288,7
584,3859,407,660,465,75,3319,7
585,3275,373,540,510,97,2668,7
586,650,396,600,405,115,130,4
587,2494,774,960,525,139,1830,7
588,5508,412,825,630,135,4743,2
589,2569,145,870,660,176,1733,7
590,1458,552,960,645,174,639,0
591,923,473,930,555,164,204,4
592,901,504,825,555,158,188,4
593,1403,304,871,659,535,209,4
594,1987,376,1171,854,801,332,0
595,9263,581,7215,480,164,8619,1
596,1100,628,960,675,210,215,4
597,2674,52,870,570,142,1962,7
598,7165,448,990,510,145,6510,2
599,900,445,781,555,157,188,4
600,905,528,795,555,157,193,4
601,1029,117,796,479,377,173,4
602,911,386,825,585,131,195,4
603,708,492,705,390,130,188,4
604,9710,168,945,795,7167,1748,6
605,817,384,840,480,141,196,4
606,884,496,810,540,143,201,4
607,841,480,976,374,130,337,4
608,3816,114,660,3525,160,131,7
609,1252,421,871,509,146,597,4
610,778,495,855,495,119,164,4
611,843,454,750,555,152,136,4
612,794,467,765,480,155,159,4
613,872,513,780,555,159,158,4
614,3518,325,1620,810,425,2283,7
615,1355,362,1005,720,380,255,4
616,2240,517,840,495,104,1641,7
617,6870,458,870,615,110,6145,2
618,898,480,735,570,161,167,4
619,2352,515,795,645,158,1549,7
620,1216,316,870,585,434,197,4
621,736,367,795,450,108,178,4
622,4095,463,795,570,100,3425,7
623,1287,263,735,690,425,172,4
624,1140,207,795,495,449,196,4
625,4562,521,976,435,132,3905,2
626,1052,486,855,660,190,202,4
627,12990,439,90,390,136,12464,5
628,741,202,736,465,115,161,4
629,4883,511,1935,765,183,3935,2
630,950,508,915,540,189,221,4
631,989,495,885,615,186,188,4
632,1059,492,870,675,195,189,4
633,904,476,856,584,151,169,4
634,899,480,826,554,146,199,4
635,987,487,826,630,157,200,4
636,1220,167,885,495,484,241,4
637,837,482,825,525,138,174,4
638,852,484,795,525,152,175,4
639,902,516,825,585,128,189,4
640,876,519,180,300,155,421,4
641,963,513,870,600,167,196,4
642,960,554,900,570,170,220,4
643,1305,246,990,450,469,266,4
644,1816,279,1141,794,596,426,0
645,2380,470,825,465,127,1788,7
646,5529,438,885,495,155,4879,2
647,883,441,765,555,156,172,4
648,927,514,810,570,144,213,4
649,14745,233,960,495,147,14103,5
650,5024,455,915,525,146,4353,2
651,924,498,796,584,145,195,4
652,890,495,870,510,153,227,4
653,7344,133,856,614,6522,208,6
654,2330,390,810,495,134,1701,7
655,5139,461,900,510,128,4501,2
656,860,456,766,525,158,177,4
657,887,624,825,510,166,211,4
658,992,479,1095,540,147,305,4
659,900,458,825,540,161,199,4
660,876,482,825,510,160,206,4
661,862,497,840,495,169,198,4
662,807,390,795,465,159,183,4
663,4060,86,855,780,934,2346,7
664,2490,471,795,615,150,1725,7
665,996,476,811,614,192,190,4
666,816,444,810,495,128,193,4
667,3426,240,780,2986,232,208,7
668,1128,524,915,555,130,443,4
669,1077,532,855,660,216,201,4
670,846,291,766,494,147,205,4
671,3723,138,3466,600,95,3028,7
672,1205,540,825,495,118,592,4
673,974,537,870,630,132,212,4
674,808,472,870,480,127,201,4
675,986,237,780,600,205,181,4
676,6893,468,7066,539,110,6244,1
677,820,458,766,494,138,188,4
678,900,449,781,540,175,185,4
679,1033,525,885,615,174,244,4
680,1135,493,856,765,162,208,4
681,1337,137,825,675,492,170,4
682,22150,644,21751,855,173,21122,3
683,1153,465,1096,734,140,279,4
684,11274,136,9226,705,180,10389,1
