,bothfoot_L,swing_L,bothfoot_R,swing_R,stand_L,stand_R,cluster_id
302,1040,755,1005,615,956,1184,1
303,990,752,1140,645,921,829,1
304,950,681,945,645,866,774,2
305,900,713,1050,614,821,799,1
306,1670,638,135,600,786,2434,1
307,860,692,885,674,785,775,2
308,800,786,839,645,890,700,2
309,1081,621,960,840,792,910,1
310,1200,717,1125,840,886,1173,1
311,1091,731,975,795,947,884,1
312,921,852,150,600,1003,778,2
313,1160,704,1230,720,923,947,1
314,1170,934,1005,884,1143,968,1
315,1210,622,1216,914,852,988,1
316,1130,731,930,825,967,903,1
317,1120,666,1065,870,822,968,1
318,1050,757,915,780,937,873,1
319,1100,747,1170,675,942,908,1
320,1060,676,1065,780,837,903,1
321,890,537,915,735,617,813,2
322,690,461,750,495,532,628,2
323,660,463,630,450,582,548,2
324,740,447,705,464,602,588,2
325,751,489,750,494,598,643,2
326,779,171,690,554,311,648,2
327,740,499,719,584,576,994,2
328,710,504,645,555,596,624,2
329,640,529,720,435,611,559,2
330,720,526,750,495,616,634,2
331,630,530,705,495,576,584,2
332,740,527,690,540,616,654,2
333,1310,508,765,510,637,6884,3
334,731,558,766,510,651,640,2
335,810,468,779,524,627,653,2
336,700,536,660,584,622,618,2
337,710,524,750,479,632,608,2
338,770,510,675,630,607,673,2
339,680,557,645,555,647,593,2
340,801,558,795,600,612,748,2
341,770,479,750,510,602,648,2
342,690,542,630,585,627,613,2
343,720,501,765,495,597,633,2
344,730,531,720,510,628,633,2
345,699,529,765,480,612,617,2
346,741,465,765,464,593,618,2
347,740,486,705,510,607,623,2
348,790,518,119,525,642,668,2
349,690,507,690,555,597,603,2
350,681,500,705,465,608,573,2
351,711,513,750,465,624,607,2
352,711,509,750,495,600,621,2
353,751,472,750,480,601,630,2
354,671,555,705,435,692,539,2
355,700,555,825,495,632,628,2
356,780,557,750,585,637,703,2
357,750,545,765,555,617,683,2
358,710,530,705,555,597,643,2
359,820,535,675,630,652,708,2
360,791,561,705,644,663,698,2
361,710,545,780,539,602,658,2
362,830,498,735,659,537,793,2
363,842,480,660,600,599,723,2
364,813,570,660,690,641,751,2
365,850,708,690,720,791,769,2
366,800,607,870,660,671,739,2
367,800,622,105,510,751,679,2
368,911,536,945,600,656,794,2
369,320,270,720,615,702,679,2
370,820,583,135,510,702,708,2
371,850,569,105,570,697,723,2
372,830,637,735,659,772,698,2
373,780,490,945,479,616,654,2
374,770,567,780,509,666,674,2
375,760,562,824,495,676,654,2
376,810,423,735,615,566,674,2
377,1270,498,660,1035,641,1129,1
378,830,558,810,540,681,709,2
379,750,557,810,525,656,654,2
380,700,523,810,450,626,604,2
381,1050,483,675,675,816,724,2
382,1030,539,1230,524,631,939,1
383,830,597,675,674,711,719,2
384,820,542,885,539,656,714,2
385,750,539,810,479,656,634,2
386,820,530,811,510,686,665,2
387,749,584,840,509,675,664,2
388,930,608,750,750,715,825,2
389,801,648,825,615,726,725,2
390,850,607,885,600,701,759,2
391,922,622,840,660,753,799,2
392,951,490,855,735,613,837,2
393,860,667,660,690,793,737,2
394,900,680,855,719,798,782,2
395,991,694,915,779,794,897,1
396,1021,688,870,824,809,902,1
397,1011,647,900,824,745,916,1
398,1021,731,840,795,871,890,1
399,1041,741,960,810,892,899,1
400,1041,720,975,780,898,863,1
401,1040,697,930,885,823,917,1
402,1110,677,900,870,843,947,1
403,1130,754,960,840,933,957,1
404,960,601,1005,764,733,837,2
405,901,686,780,734,807,783,2
406,940,616,840,824,702,858,2
407,990,616,780,810,722,888,2
408,960,494,840,735,607,853,2
409,1060,640,915,795,777,1103,1
410,920,442,825,750,572,798,2
411,1200,738,105,735,862,1078,2
412,950,615,930,765,737,833,2
413,870,721,810,765,762,838,2
414,920,720,855,689,857,783,2
415,1040,707,900,869,836,914,1
416,960,666,884,794,786,844,2
417,1010,389,885,779,521,879,2
418,1010,679,855,765,791,1099,1
419,940,610,840,780,721,829,2
420,940,671,750,690,796,824,2
421,1120,307,1020,780,426,1004,2
422,1310,697,855,750,831,1179,1
423,911,641,900,720,772,789,2
424,1040,669,825,794,862,848,1
425,1220,635,975,929,816,1044,1
426,990,613,930,704,791,819,2
427,1170,187,870,900,381,979,2
428,980,609,885,675,781,1179,1
429,890,609,825,675,781,719,2
430,910,668,840,765,756,824,2
431,940,622,915,645,766,804,2
432,890,607,930,615,721,779,2
433,870,458,885,615,551,779,2
434,880,714,750,750,761,949,2
435,880,663,825,734,751,799,2
436,860,583,825,674,700,750,2
437,930,397,750,735,515,2225,1
438,921,616,810,705,731,2560,1
439,812,638,765,705,713,739,2
440,930,563,750,765,698,802,2
441,640,401,750,525,473,577,2
442,830,482,555,600,638,682,2
443,680,754,840,405,833,607,2
444,662,473,945,434,595,547,2
445,701,430,735,464,526,605,2
446,1450,446,570,704,640,1260,1
447,1590,728,2025,510,826,1494,1
448,920,600,945,735,666,854,2
449,930,570,750,735,681,819,2
450,340,213,780,645,676,744,2
451,1010,790,750,764,961,839,1
452,1130,692,1065,779,946,884,1
453,830,698,1020,614,840,690,2
454,910,637,104,630,740,810,2
455,981,596,930,660,731,850,2
456,960,686,795,735,851,799,2
457,5790,556,4185,495,676,5674,3
458,790,549,765,570,681,659,2
459,910,872,735,734,1001,789,1
460,1160,717,1245,749,885,995,1
461,920,764,990,674,910,780,1
462,1121,984,990,870,1161,950,1
463,870,910,750,630,967,813,1
464,170,510,0,240,622,2318,2
465,670,540,765,465,602,608,2
466,760,494,765,525,572,688,2
467,770,520,675,630,557,733,2
468,900,538,104,570,692,748,2
469,690,605,750,584,657,643,2
470,1040,673,765,794,816,904,1
471,900,755,974,599,901,759,2
472,1640,635,879,614,785,1495,1
473,811,735,855,660,821,730,2
474,850,458,960,585,586,724,2
475,730,531,645,585,626,644,2
476,820,511,780,540,646,694,2
477,722,605,675,645,658,674,2
478,852,592,750,615,745,707,2
479,761,629,825,615,696,695,2
480,820,545,765,645,656,714,2
481,780,494,720,615,601,679,2
482,760,520,630,659,590,690,2
483,810,552,119,539,670,700,2
484,802,568,750,585,707,665,2
485,932,731,870,600,909,763,2
486,1140,696,1155,690,904,936,1
487,1100,674,974,764,841,939,1
488,1160,618,1020,780,821,959,1
489,1140,693,975,780,906,934,1
490,1130,784,1035,780,1011,909,1
491,880,387,1095,615,571,699,2
492,6520,548,0,0,7641,0,4
493,1121,850,1095,764,1066,905,1
494,1320,843,1290,885,1061,1109,1
495,991,762,975,809,921,840,1
496,980,939,990,735,1116,804,1
497,1250,671,1305,780,961,969,1
498,2590,610,2790,600,771,2429,1
499,820,812,840,630,941,699,2
500,1170,850,1170,750,1041,979,1
501,1300,964,164,629,1211,1059,1
502,1690,744,1410,1124,1115,1325,1
503,1420,643,1350,945,890,1180,1
504,1462,688,1065,1005,971,1180,1
505,110,791,1155,915,961,1099,1
506,1240,639,1020,1110,711,1169,1
507,880,666,810,615,836,714,2
508,920,720,1050,585,841,799,1
509,1010,705,1065,600,896,825,1
510,1380,760,1005,869,1161,980,1
511,1001,722,1200,705,856,875,1
512,1022,743,1049,690,889,883,1
513,1261,732,1005,870,1015,986,1
514,921,588,974,644,740,771,2
515,921,643,793,734,783,788,2
516,982,644,840,764,809,823,2
517,950,701,884,719,855,796,2
518,941,589,945,720,721,810,2
519,961,649,795,690,847,764,2
520,943,597,135,615,725,818,2
521,962,649,810,705,822,790,2
522,861,652,150,555,768,753,2
523,1022,954,825,825,1100,882,1
524,822,687,1170,659,782,730,2
525,890,604,960,540,782,718,2
526,920,671,1005,524,842,749,2
527,1009,644,1065,659,776,883,1
528,970,588,104,645,731,829,2
529,950,652,825,675,841,769,2
530,1150,701,945,735,1021,839,1
531,1081,771,1155,720,1007,854,1
532,1000,749,1230,660,867,883,1
533,1100,711,1020,810,857,963,1
534,1030,810,1020,510,1062,778,1
535,990,473,1260,659,612,858,2
536,630,412,735,404,522,529,2
537,660,458,614,479,546,574,2
538,670,479,585,554,556,594,2
539,730,478,645,510,611,599,2
540,710,516,735,495,611,619,2
541,691,525,630,570,632,589,2
542,720,549,750,495,657,613,2
543,710,592,795,495,677,633,2
544,801,507,825,540,623,688,2
545,700,593,675,570,678,622,2
546,730,516,735,570,623,627,2
547,740,455,735,509,578,622,2
548,710,1061,615,585,1149,622,2
549,829,563,1275,629,642,757,2
550,821,642,780,584,747,723,2
551,950,574,149,600,732,798,2
552,992,566,795,780,719,843,2
553,781,561,780,615,675,676,2
554,811,592,735,615,736,675,2
555,850,573,930,525,711,719,2
556,860,564,855,585,701,729,2
557,880,545,885,570,676,754,2
558,820,564,750,659,656,734,2
559,660,583,750,479,676,574,2
560,720,550,720,584,641,629,2
561,750,527,795,479,645,635,2
562,781,533,795,524,646,675,2
563,790,560,825,510,661,689,2
564,800,560,795,555,671,689,2
565,750,529,735,600,616,664,2
566,760,560,735,555,646,674,2
567,771,605,720,585,722,659,2
568,740,550,885,480,647,643,2
569,811,580,795,525,718,673,2
570,730,540,870,479,638,632,2
571,790,527,795,539,623,697,2
572,792,517,690,614,629,683,2
573,811,531,674,614,690,661,2
574,740,514,735,599,615,645,2
575,760,574,675,659,620,720,2
